id,time,geometry
2,2019-03-14 10:41:41+00:00,POINT (11.901945 50.319607)
2,2019-03-14 10:41:56+00:00,POINT (11.902703 50.31911)
2,2019-03-14 10:42:11+00:00,POINT (11.90265 50.319275)
2,2019-03-14 10:42:26+00:00,POINT (11.899578 50.32143)
2,2019-03-14 10:42:41+00:00,POINT (11.89803 50.323086)
2,2019-03-14 10:42:56+00:00,POINT (11.897914 50.32346)
2,2019-03-14 10:43:11+00:00,POINT (11.898471 50.32397)
2,2019-03-14 10:43:26+00:00,POINT (11.899181 50.325054)
2,2019-03-14 10:43:41+00:00,POINT (11.898868 50.32697)
3,2018-07-06 11:48:02+00:00,POINT (11.909791 50.317133)
3,2018-07-06 11:48:07+00:00,POINT (11.910578 50.317017)
3,2018-07-06 11:48:12+00:00,POINT (11.911342 50.316898)
3,2018-07-06 11:48:14+00:00,POINT (11.911633 50.316843)
3,2018-07-06 11:48:17+00:00,POINT (11.911997 50.316776)
3,2018-07-06 11:48:20+00:00,POINT (11.912243 50.316687)
3,2018-07-06 11:48:27+00:00,POINT (11.912199 50.316309)
3,2018-07-06 11:48:29+00:00,POINT (11.912199 50.316309)
3,2018-07-06 11:48:32+00:00,POINT (11.911806 50.31562)
3,2018-07-06 11:48:35+00:00,POINT (11.911559 50.315224)
3,2018-07-06 11:48:41+00:00,POINT (11.911422 50.314792)
3,2018-07-06 11:48:43+00:00,POINT (11.911638 50.314759)
3,2018-07-06 11:48:44+00:00,POINT (11.911638 50.314759)
3,2018-07-06 11:48:59+00:00,POINT (11.911638 50.314759)
3,2018-07-06 11:49:14+00:00,POINT (11.911638 50.314759)
3,2018-07-06 11:49:29+00:00,POINT (11.911638 50.314759)
3,2018-07-06 11:49:44+00:00,POINT (11.911638 50.314759)
3,2018-07-06 11:49:46+00:00,POINT (11.911816 50.314722)
3,2018-07-06 11:49:52+00:00,POINT (11.912252 50.314642)
3,2018-07-06 11:50:14+00:00,POINT (11.912252 50.314642)
3,2018-07-06 11:50:29+00:00,POINT (11.912252 50.314642)
3,2018-07-06 11:50:44+00:00,POINT (11.912252 50.314642)
3,2018-07-06 11:50:59+00:00,POINT (11.912252 50.314642)
3,2018-07-06 11:51:14+00:00,POINT (11.912252 50.314642)
3,2018-07-06 11:51:20+00:00,POINT (11.912445 50.314606)
3,2018-07-06 11:51:26+00:00,POINT (11.912494 50.314333)
3,2018-07-06 11:51:29+00:00,POINT (11.912405 50.31409)
3,2018-07-06 11:51:31+00:00,POINT (11.91235 50.313906)
3,2018-07-06 11:51:36+00:00,POINT (11.912114 50.313363)
3,2018-07-06 11:51:41+00:00,POINT (11.911908 50.312943)
3,2018-07-06 11:51:44+00:00,POINT (11.911849 50.312852)
3,2018-07-06 11:51:44+00:00,POINT (11.911849 50.312852)
3,2018-07-06 11:51:59+00:00,POINT (11.911849 50.312852)
3,2018-07-06 11:52:14+00:00,POINT (11.911773 50.312762)
3,2018-07-06 11:52:25+00:00,POINT (11.911725 50.312665)
3,2018-07-06 11:52:29+00:00,POINT (11.911883 50.312515)
3,2018-07-06 11:52:31+00:00,POINT (11.912161 50.312391)
3,2018-07-06 11:52:37+00:00,POINT (11.912914 50.312203)
3,2018-07-06 11:52:41+00:00,POINT (11.913407 50.312055)
3,2018-07-06 11:52:44+00:00,POINT (11.913778 50.311911)
3,2018-07-06 11:52:46+00:00,POINT (11.914029 50.311802)
3,2018-07-06 11:52:52+00:00,POINT (11.914762 50.31151)
3,2018-07-06 11:52:57+00:00,POINT (11.915401 50.311291)
3,2018-07-06 11:52:59+00:00,POINT (11.915708 50.311199)
3,2018-07-06 11:53:06+00:00,POINT (11.916918 50.310811)
3,2018-07-06 11:53:11+00:00,POINT (11.917743 50.310525)
3,2018-07-06 11:53:14+00:00,POINT (11.918055 50.31042)
3,2018-07-06 11:53:16+00:00,POINT (11.918481 50.310291)
3,2018-07-06 11:53:21+00:00,POINT (11.919171 50.310059)
3,2018-07-06 11:53:26+00:00,POINT (11.919775 50.309845)
3,2018-07-06 11:53:29+00:00,POINT (11.920125 50.309711)
